Category,Brand,Item ID,Model,Description,Price,URL
French Door Refrigerators,Samsung,315425316,RQ48T94B277,17.3 cu. ft. Kimchi and Beverage 4-Door French Door Refrigerator in Clean Navy and White,1798.0,https://www.homedepot.com/p/Samsung-17-3-cu-ft-Kimchi-and-Beverage-4-Door-French-Door-Refrigerator-in-Clean-Navy-and-White-RQ48T94B277/315425316
French Door Refrigerators,Forno,320370248,FFFFD1907-37SG,Bovino 37 in. Counter Depth 18.9 cu. ft. French Door No Frost Refrigerator in Stainless Steel with Decorative Grill,1699.0,https://www.homedepot.com/p/Forno-Bovino-37-in-Counter-Depth-18-9-cu-ft-French-Door-No-Frost-Refrigerator-in-Stainless-Steel-with-Decorative-Grill-FFFFD1907-37SG/320370248
French Door Refrigerators,GE Profile,312648549,PFE28PYNFS,Profile 27.7 cu. ft. Smart French Door Refrigerator with Kuerig K-Cup in Fingerprint Resistant Stainless Steel,3418.0,https://www.homedepot.com/p/GE-Profile-Profile-27-7-cu-ft-Smart-French-Door-Refrigerator-with-Kuerig-K-Cup-in-Fingerprint-Resistant-Stainless-Steel-PFE28PYNFS/312648549
French Door Refrigerators,ZLINE Kitchen and Bath,323938871,RBIVZ-304-60-G,"60"" Autograph Edition Built-in French Door Refrigerator with Internal Water and Ice Dispenser in Stainless Steel & Gold",14199.95,https://www.homedepot.com/p/ZLINE-Kitchen-and-Bath-60-Autograph-Edition-Built-in-French-Door-Refrigerator-with-Internal-Water-and-Ice-Dispenser-in-Stainless-Steel-Gold-RBIVZ-304-60-G/323938871
French Door Refrigerators,Summit Appliance,318667254,FDRD152PL,"27.5 in. W 14.8 cu. ft. French Door Refrigerator in Stainless Steel, Counter Depth",2046.15,https://www.homedepot.com/p/Summit-Appliance-27-5-in-W-14-8-cu-ft-French-Door-Refrigerator-in-Stainless-Steel-Counter-Depth-FDRD152PL/318667254
French Door Refrigerators,Koolmore,317015362,RESREF-22CSS,22.5 cu. ft. Four Door French Refrigerator in Stainless Steel,2331.19,https://www.homedepot.com/p/Koolmore-22-5-cu-ft-Four-Door-French-Refrigerator-in-Stainless-Steel-RESREF-22CSS/317015362
French Door Refrigerators,ZLINE Kitchen and Bath,322590977,RFM-36-WF-BS,"36"" 22.5 cu. ft French Door Refrigerator with Ice Maker and Water Filter in Fingerprint Resistant Black Stainless Steel",4339.95,https://www.homedepot.com/p/ZLINE-Kitchen-and-Bath-36-22-5-cu-ft-French-Door-Refrigerator-with-Ice-Maker-and-Water-Filter-in-Fingerprint-Resistant-Black-Stainless-Steel-RFM-36-WF-BS/322590977
French Door Refrigerators,ZLINE Kitchen and Bath,322590308,RFM-WF-36,36 in. 22.5 cu.ft 4-Door French Door Refrigerator with Ice Maker & Water Filter in Fingerprint Resistant Stainless Steel,3635.96,https://www.homedepot.com/p/ZLINE-Kitchen-and-Bath-36-in-22-5-cu-ft-4-Door-French-Door-Refrigerator-with-Ice-Maker-Water-Filter-in-Fingerprint-Resistant-Stainless-Steel-RFM-WF-36/322590308
French Door Refrigerators,ZLINE Kitchen and Bath,323938880,RBIVZ-304-60-MB,"60"" Autograph Edition Built-in French Door Refrigerator with Water and Ice Dispenser in Stainless Steel & Matte Black",14199.95,https://www.homedepot.com/p/ZLINE-Kitchen-and-Bath-60-Autograph-Edition-Built-in-French-Door-Refrigerator-with-Water-and-Ice-Dispenser-in-Stainless-Steel-Matte-Black-RBIVZ-304-60-MB/323938880
French Door Refrigerators,KitchenAid,301728203,KBFN506EBS,20.8 cu. ft. Built-In French Door Refrigerator in Black Stainless with Platinum Interior,9799.0,https://www.homedepot.com/p/KitchenAid-20-8-cu-ft-Built-In-French-Door-Refrigerator-in-Black-Stainless-with-Platinum-Interior-KBFN506EBS/301728203
French Door Refrigerators,Impecca,323583108,M-RM4152STG1974,14.9 cu. ft. 4-Door Multi-Door CounterDepth Refrigerator Stainless Steal,1355.07,https://www.homedepot.com/p/Impecca-14-9-cu-ft-4-Door-Multi-Door-CounterDepth-Refrigerator-Stainless-Steal-M-RM4152STG1974/323583108
French Door Refrigerators,LG,325158253,LHFS28XBS,28 cu. ft. 3 Door French Door Refrigerator with Ice and Water THD exclusive in PrintProof Stainless Stand Depth w Craft,2248.0,https://www.homedepot.com/p/LG-28-cu-ft-3-Door-French-Door-Refrigerator-with-Ice-and-Water-THD-exclusive-in-PrintProof-Stainless-Stand-Depth-w-Craft-LHFS28XBS/325158253
